,Q3,Q4,Q5,Q6,Q7,Q10,Q12,Q14,Q16,Q18,Q21,Q22,Q23,Q24,Q25,Q27,Q28,Q29,Q30,Q31,Q33,Q34,Q35,Q36,Q37
0,1,6,1,2,1,5,2,1,1,2,5,2,1,1,5,1,7,6,4,5,1,6,7,1,1
1,5,7,6,1,5,7,3,3,2,5,3,2,1,6,7,2,7,4,3,5,5,3,3,6,2
2,1,3,4,2,2,5,1,4,2,2,3,3,2,2,2,2,4,1,2,2,1,2,2,1,1
3,1,2,4,1,6,6,3,1,2,5,6,2,4,6,5,1,6,5,4,3,5,2,3,4,4
4,4,7,7,3,3,6,1,1,1,2,5,1,2,1,5,1,7,5,5,5,7,5,5,2,1
5,5,7,7,3,4,6,1,2,1,6,6,1,4,5,6,1,4,4,4,4,1,7,4,1,1
6,3,6,5,1,3,6,3,3,1,3,3,2,3,5,4,1,6,5,2,4,3,5,5,3,2
7,7,7,2,1,4,3,1,3,2,2,3,1,2,5,4,1,7,7,1,1,1,4,4,1,1
8,5,6,4,2,3,4,2,2,3,5,5,2,2,4,5,3,7,5,5,5,2,6,6,2,3
9,5,7,5,1,5,5,3,3,3,6,5,4,3,5,5,1,3,2,3,3,3,5,3,5,5
10,3,4,1,1,2,6,2,2,2,6,4,1,2,1,2,1,7,5,3,4,1,3,5,1,3
11,4,6,4,4,5,5,3,2,2,4,6,4,4,4,5,3,6,7,4,5,4,4,5,4,4
12,4,6,2,1,2,5,1,2,1,4,3,1,2,4,5,1,6,5,5,5,3,5,3,2,3
13,5,5,1,1,5,5,1,3,2,2,4,1,2,2,4,2,6,7,4,5,2,4,2,1,2
14,7,3,7,7,3,3,7,7,7,7,4,7,6,7,4,7,4,2,7,4,3,4,6,7,4
15,2,6,1,1,2,3,1,2,1,2,3,2,1,4,4,1,4,1,1,2,2,5,2,1,3
16,6,7,6,1,6,5,3,2,3,3,6,2,2,3,5,2,6,7,3,5,5,5,6,1,4
17,3,6,5,5,7,3,1,2,2,3,7,5,2,6,6,2,7,7,3,7,6,6,6,2,2
18,2,6,1,1,2,2,1,1,1,5,2,2,3,5,7,1,3,4,1,3,3,2,2,1,1
19,5,6,2,1,2,3,1,3,1,2,4,1,1,2,4,1,7,7,1,3,3,6,6,4,5
20,6,7,6,2,7,7,7,2,7,7,7,3,7,3,7,1,7,7,2,7,6,1,2,7,7
21,1,7,7,1,1,4,1,1,1,4,7,1,1,4,7,1,1,1,1,1,1,1,1,1,1
22,4,6,3,5,3,3,4,1,1,4,7,6,5,5,5,4,2,5,2,6,5,6,2,6,1
23,6,7,2,1,7,5,4,5,4,7,5,5,4,3,7,1,2,3,1,3,6,6,1,4,3
24,2,3,3,1,1,5,2,1,1,3,3,2,1,2,3,1,7,3,7,7,2,6,5,3,2
25,2,6,1,1,1,5,1,1,1,4,6,1,2,2,6,1,7,5,1,1,1,3,4,2,1
26,7,7,2,1,1,7,2,5,2,1,7,2,1,1,3,1,7,7,1,7,1,7,1,1,7
27,1,6,1,1,1,3,1,1,1,1,4,1,1,2,3,3,7,5,2,3,1,3,3,1,1
28,2,7,1,1,1,5,1,1,1,1,6,5,2,2,6,1,7,7,7,7,1,7,7,3,1
29,4,3,3,7,4,2,4,3,4,4,5,5,7,6,5,7,3,4,4,5,6,3,3,6,5
30,5,5,6,1,5,6,3,6,4,6,5,5,2,5,6,3,7,6,6,6,1,6,5,1,1
31,5,7,4,2,1,5,1,1,1,3,5,1,1,1,3,1,7,5,1,1,1,5,1,1,1
32,6,6,2,1,2,6,1,1,1,2,6,2,1,2,2,1,6,5,2,2,5,3,2,1,2
33,3,7,4,1,5,5,2,1,1,6,7,3,1,5,6,1,5,2,1,1,1,4,5,2,1
34,7,7,4,1,7,4,4,4,4,5,4,4,4,4,5,4,7,7,4,7,7,7,5,7,1
35,5,7,3,1,2,2,3,6,3,3,6,2,6,7,7,1,5,7,4,4,5,5,4,5,4
36,5,7,6,1,3,6,1,5,1,3,5,2,1,2,6,6,1,7,2,1,2,2,3,1,1
37,3,5,5,1,2,5,1,1,2,5,6,1,1,1,5,1,7,7,1,4,6,7,1,1,1
38,3,6,2,1,5,5,2,1,2,5,4,3,2,4,2,1,6,4,4,6,4,5,5,3,3
39,4,6,6,4,4,4,4,4,4,4,5,2,4,4,4,1,7,4,1,1,4,4,4,4,4
40,5,7,7,1,7,5,4,4,1,5,5,3,6,2,6,2,6,6,2,2,4,5,2,5,5
41,2,5,2,1,1,2,1,1,1,4,4,1,1,1,5,1,4,5,1,4,4,5,4,4,4
42,6,7,5,1,5,6,2,1,2,5,6,2,4,1,5,1,4,6,1,4,3,5,4,4,3
43,3,5,2,1,1,5,1,2,1,1,2,1,1,2,2,1,7,7,3,6,5,6,2,1,3
44,3,7,1,1,2,5,1,1,1,5,7,1,5,7,7,1,7,5,1,1,7,7,7,1,3
45,5,6,5,1,1,6,1,1,1,1,6,4,1,4,5,1,6,6,5,7,1,5,5,1,1
46,5,6,4,1,3,2,1,1,1,1,1,1,1,2,2,1,7,6,2,4,1,4,5,5,1
47,2,7,1,1,4,5,1,5,1,3,5,1,3,1,3,1,7,1,1,2,1,2,2,1,1
48,2,4,5,6,2,1,1,2,2,5,5,7,6,7,7,6,6,1,1,6,5,2,1,6,2
49,5,7,5,3,3,3,3,3,3,5,5,5,5,5,5,3,3,5,3,5,3,3,3,3,3
50,2,6,1,1,1,3,1,1,1,2,2,1,1,5,3,1,7,4,3,6,5,7,6,1,1
51,2,4,1,1,1,4,1,1,1,1,1,1,1,1,5,1,6,7,1,6,1,6,4,1,1
52,2,6,7,1,7,1,1,1,1,1,1,5,1,1,1,1,6,3,4,4,4,4,4,3,4
53,4,7,1,1,2,1,1,1,1,1,7,1,1,3,2,1,2,2,1,1,1,1,1,1,1
54,6,6,2,1,2,6,2,2,1,4,1,1,1,3,2,1,7,7,1,1,1,5,1,1,1
55,2,5,2,1,2,2,1,1,1,5,5,1,1,3,3,1,7,6,1,1,3,7,6,2,2
56,6,6,4,1,5,5,2,4,4,5,5,3,2,2,6,3,6,6,5,5,2,4,3,2,2
57,2,7,1,2,1,1,1,1,1,4,2,1,1,1,3,2,6,3,3,3,4,3,2,1,2
58,5,7,5,1,7,5,1,1,1,5,6,1,1,5,4,1,7,7,1,2,1,2,2,1,1
59,2,6,3,1,3,3,1,1,1,3,6,2,4,4,5,2,6,5,4,5,4,5,5,4,4
60,2,7,5,1,4,4,3,2,2,1,4,3,3,1,3,3,7,7,5,6,3,4,2,1,3
