StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q41,Q3,Q4,Q5,Q6,Q7,Q10,Q12,Q14,Q16,Q18,Q21,Q22,Q23,Q24,Q25,Q27,Q28,Q29,Q30,Q31,Q33,Q34,Q35,Q36,Q37,Q39,Q40,Q40 - Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"TITLE OF RESEARCH: Profile Bias in Social Media User Content Moderation

PRINCIPAL INVESTIGATOR: Jay Li

PRINCIPAL INVESTIGATOR’S DEPARTMENT: Computer Science



Key information about the study:

Your informed consent is being sought for research. Participation in the research is voluntary.



The purpose of the research: Investigate if content reviewers exhibit bias in moderating the flagged social media activities, and if they do, whether this bias is related to specific characteristics of a flagged user’s profile, such as their gender, race, ethnicity, geographic location, or income level. 



The expected duration of the subject's participation: 5-10 minutes.  



The procedures that the subject will be asked to follow in the research: Complete the survey on rating Facebook posts.



The benefits to the subject or to others, e.g., society that may reasonably be expected from the research: In social media moderation, if bias exists, then it is important to evaluate it quantitatively especially in the future when social media platforms will be utilizing machine learning to develop autonomous programs that will determine what is or is not appropriate on their platforms. It will be crucial to prevent such intelligent systems from developing bias of their own.



The reasonably foreseeable risks or discomforts to the subject as a result of participation: The subject will be exposed to content that could potentially be offensive and make them feel uncomfortable. 



Additional information about the study:

Confidentiality: All records from this study will be kept confidential. Your responses will be kept private, and we will not include any information that will make it possible to identify you in any report we might publish. The research team will be the only party that will have access to your data.



Compensation: Participants will be compensated $5.



Who to contact with questions:

Jay Li

Phone: (480) 329-6338

Email:jiayangl@princeton.edu 



If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the Investigator, please contact the Institutional Review Board at:

Assistant Director, Research Integrity and Assurance

Phone: (609) 258-8543

Email: irb@princeton.edu



Summary:

I understand the information that was presented and that:

My participation is voluntary. Refusal to participate will involve no penalty or loss of benefits to which I am otherwise entitled. I may discontinue participation at any time without penalty or loss of benefits. I do not waive any legal rights or release Princeton University or its agents from liability for negligence.

I hereby give my consent to be the subject of the research.","Men should go back to first grade and learn to ""keep their hands to themselves.""","If you aren't born in this country, just pack your bags and leave now.","#NastyWomen run this world.",All human beings should be entitled to express their own opinions at their own free will.,"(Referencing photo below)

 

Cannot believe that Amazon allows vendors to sell this kind of crap","(Referencing photo below)

 

Adam and Behati - so risqué that Google Images filters this one out these days.","(Referencing photo below)

 

Oh the beaches are ready for this. Not sure if my mind is.","(Referencing photo below)

 

Just two weeks in and so happy to see little Leo getting into a normal sleeping pattern. Love being a new mom!","(Referencing photo below)

 

Selling this bikini set by TRIANGL (completely new and unworn of course!) DM me if interested for the price.","(Referencing photo below)

 

Facebook says satire doesn't violate its Community Standards, so here's one for them to judge.","""You wouldn't believe how bad these people are. These aren't people, these are animals, and we're taking them out of the country at a level and at a rate that's never happened before."" 

 

If our so-called President is allowed to say this, then we should too. 

 

(Quoted from: https://www.nytimes.com/2018/05/18/us/politics/fact-check-trump-animals-immigration-ms13-sactuary-cities.html)","If you even think that you have a mental health issue, seriously, that's already an indication to go see a psychiatrist or therapist or someone. Just get the help you need.","There is really no need for the Chinese to ban Winnie the Pooh just because someone memed Xi Jinping into looking like Pooh bear. If anything, they should embrace it. There really isn't a more lovable cartoon character anywhere else in the world - which is a true compliment to Xi.","I just finished reading ""Mein Kampf."" Despite history and whatnot, it should be included in various educational curriculum in order for people to have a more holistic understanding of the Holocaust and World War II. ""Remember history."" Am I right?","People should really loosen up on dark humor these days; stop taking things so seriously. Like think about Anthony Jeselnik's jokes: ""I'm working on a screenplay about a guy who teaches a retarded kid how to read. It's good. But it's so fucking long."" Like c'mon, who really ever means that?

 

(Quoted from: https://www.thoughtcatalog.com/derek-marshall/2013/11/20-seriously-dark-anthony-jeselnik-jokes-thatll-twist-your-brain-sideways/)","Engineers without Borders is one of the most incredible parts of my Princeton experience. By traveling to communities in Peru, Kenya, and the Dominican Republic over the summer, our students are able to physically implement water systems that they themselves have designed over the school year - bringing clean water to hundreds of people who currently lack it. We would really appreciate any contribution you can make to help this amazing cause. Thank you!","Want more followers on your Instagram account? 1,000 free followers right after you click this link: http://www.freeee-inst-followers.net/ 

 

No sign-ups necessary!","""God is real! He is a male!"" If you see this message and don't repost in the next ten minutes, you will encounter a series of ten serious unlucky incidents within the next ten days.",Our Cyber Monday sale has been extended by 24 hours! Continue to get 25%-70% off of all CLEARANCE items! Shop online at www.macys.com or at your local Macy's to see more savings off of your holiday shopping!,Want to lose weight? Change your lifestyle? Checkout A Tighter U on Facebook: https://www.facebook.com/ATIGHTERU and see client testimonials here: https://www.youtube.com/watch?v=svtc3ey-ZC0.,"Sometimes you just have to take news titles as the hyperboles and attention grabbers they are. Like with the Russia vs. Ukraine situation right now; is World War III actually going to happen? Most likely not. But does the prospect of it sound scary and newsworthy? Obviously.

 

https://www.express.co.uk/news/world/1050239/russia-ukraine-world-war-3-fires-navy-2018-news-sea-of-azov/","Twitter's CEO Jack Dorsey is a fraud and has misguided the entire company. Check out Infowar's article on how he is blatantly LIED UNDER OATH in his testimony: https://www.infowars.com/house-committee-investigating-twitter-ceo-for-lying-under-oath/. Dorsey says that Twitter is neutral with regards to the content on the platform, but that's clearly false as they've banned some of Infowar's most prominent journalists.","Want some of the best news articles the Internet has to offer? Check out https://www.yournewswire.com/. Good news, just for you!","The Onion just cracks me up with its satirical reports on all current events. Check out ""Trump Regrets Choosing Kavanaugh after Supreme Court Nominee Keeps Talking about How Much He  Respects Women."" I can truly hear our President discussing this with his advisors in his White House locker room, aka, the Oval Office.

 

(Source: https://www.politics.theonion.com/trump-regrets-choosing-kavanaugh-after-supreme-court-no-1829335851/)",Current speculation on who else might add their name to the 2020 Presidential bid? Beyonce and Oprah are on the top of my list.,"Given the above information about the study, are you willing to participate","If you agree to participate, what is your Facebook profile link?",Q40 - Topics
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID58""}","{""ImportId"":""QID11""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID17""}","{""ImportId"":""QID19""}","{""ImportId"":""QID24""}","{""ImportId"":""QID26""}","{""ImportId"":""QID30""}","{""ImportId"":""QID32""}","{""ImportId"":""QID34""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57_TEXT""}","{""ImportId"":""QID57_TEXT_f58cd698801b4d34abb89972Topics""}"
2019-03-19 06:43:40,2019-03-19 06:49:04,IP Address,*******,100,324,True,2019-03-19 06:49:05,R_wMhb3SEJli90Dbb,*******,*******,*******,*******,*******,*******,email,EN,Yes,3,7,6,1,7,4,1,1,1,7,3,3,6,7,3,3,5,7,1,2,4,4,4,4,4,No,,
2019-03-19 06:42:36,2019-03-19 06:49:10,IP Address,*******,100,394,True,2019-03-19 06:49:11,R_32QsC3NJ0DgQk67,*******,*******,*******,*******,*******,*******,email,EN,Yes,3,6,2,1,1,2,1,2,1,4,4,4,1,2,2,1,6,5,1,5,1,7,1,2,1,No,,
2019-03-19 06:42:28,2019-03-19 06:49:33,IP Address,*******,100,425,True,2019-03-19 06:49:34,R_1H1ZNUvWTVv9TIF,*******,*******,*******,*******,*******,*******,email,EN,Yes,5,6,2,2,3,1,1,1,1,5,5,2,3,5,6,2,7,7,1,1,2,6,5,3,5,No,,
2019-03-19 06:44:54,2019-03-19 06:50:18,IP Address,*******,100,324,True,2019-03-19 06:50:18,R_3qJ0uUWNQy6FMhH,*******,*******,*******,*******,*******,*******,email,EN,Yes,3,6,3,1,2,2,3,1,1,2,4,6,5,4,5,3,3,6,5,5,3,3,2,3,3,Yes,,
2019-03-19 06:42:44,2019-03-19 06:51:29,IP Address,*******,100,524,True,2019-03-19 06:51:30,R_8H53GdujAzZfESR,*******,*******,*******,*******,*******,*******,email,EN,Yes,1,7,5,2,1,1,1,1,1,1,1,2,1,1,7,1,7,7,4,5,5,6,6,1,1,No,,
2019-03-19 06:43:00,2019-03-19 06:51:45,IP Address,*******,100,525,True,2019-03-19 06:51:46,R_25vfqqqG5BCiiQV,*******,*******,*******,*******,*******,*******,email,EN,Yes,3,6,1,5,5,6,4,1,4,4,7,3,4,7,7,1,4,4,2,4,2,4,4,2,1,Yes,https://www.facebook.com/kjstiefel,Unknown
2019-03-19 06:44:44,2019-03-19 06:52:58,IP Address,*******,100,493,True,2019-03-19 06:52:58,R_1mLuwXSe55eFIOG,*******,*******,*******,*******,*******,*******,email,EN,Yes,1,5,1,1,1,2,1,1,1,6,6,2,1,2,5,1,7,6,5,7,2,5,5,1,1,Yes,https://m.facebook.com/ana.claire.568,Unknown
2019-03-19 06:46:16,2019-03-19 06:54:31,IP Address,*******,100,495,True,2019-03-19 06:54:31,R_2EzbGHyIpAifVIO,*******,*******,*******,*******,*******,*******,email,EN,Yes,5,5,4,1,5,5,1,4,5,5,5,4,4,4,5,4,4,4,3,3,4,5,3,3,2,No,,
